window_index,start_time_sec,end_time_sec,rms_energy,zero_crossing_rate,spectral_centroid_hz,spectral_rolloff_hz,band_energy_0_500,band_energy_500_2000,band_energy_2000_5000,band_energy_5000_10000
131,6.55,6.65,12053.353867,0.01417,815.26,1320.0,72707.397197,66580.822898,8526.596466,1244.638281
132,6.6,6.7,10955.063857,0.014378,1726.37,1960.0,73163.746833,72556.962447,11190.105666,5502.50235
133,6.65,6.75,10032.540342,0.017087,1241.89,1690.0,62331.126357,70757.684695,10527.375381,2425.528506
134,6.7,6.8,9144.086906,0.020004,1776.74,2120.0,60682.481695,68584.58052,13124.336436,4985.5839
135,6.75,6.85,8940.715768,0.016879,1138.4,1680.0,62080.480184,66972.43833,11228.795093,1937.220604
136,6.8,6.9,9220.640664,0.015003,1422.94,1800.0,58180.45541,71821.017173,11718.981308,3160.848865
137,6.85,6.95,9232.09845,0.01667,1659.43,1920.0,55879.922812,79958.934519,11815.19923,4615.1539
138,6.9,7.0,9582.801599,0.016045,2745.74,5350.0,61189.054437,68892.559115,17536.251903,11438.323874
139,6.95,7.05,9376.187249,0.012711,2128.74,2970.0,62423.854073,57806.080488,11966.344744,6673.077488
140,7.0,7.1,10578.403802,0.011044,2627.07,4840.0,66424.220493,65881.905542,15892.459383,10231.429002
141,7.05,7.15,11365.165208,0.010419,825.09,1430.0,69034.782346,65528.212612,8663.712578,1103.742504
142,7.1,7.2,10762.818003,0.012503,810.83,1370.0,72615.375272,62232.290275,9119.689625,1096.182297
143,7.15,7.25,11056.005904,0.015837,1033.05,1580.0,68519.770074,77764.928608,12337.724623,2096.211566
144,7.2,7.3,11599.821406,0.012503,1218.69,1720.0,72507.389164,74562.32644,12566.215689,2926.343291
145,7.25,7.35,11831.369959,0.012503,1346.86,1750.0,75019.904496,73457.73221,12796.288743,3598.820737
146,7.3,7.4,10913.930147,0.015628,1809.75,2240.0,66685.061269,77827.98002,14139.688969,5917.619133
147,7.35,7.45,9693.244822,0.017712,1784.98,2250.0,67579.68463,67786.512565,14452.756921,5384.905153
148,7.4,7.5,11208.276059,0.017087,1190.43,1540.0,79840.382329,69033.498253,12283.682386,2733.490797
149,7.45,7.55,11125.616484,0.016253,848.01,1340.0,73923.172563,65093.636141,9234.437176,1293.331789
150,7.5,7.6,10224.396278,0.016045,1735.24,2060.0,60461.849563,73358.636096,12407.974308,4876.555211
